WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO043482,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Meget gerne besøg i dag Har ikke virket siden besøg i går Tager ikke kaffe ind Skriver Motor position error ,Meget gerne besøg i dag Har ikke virket siden besøg i går Tager ikke kaffe ind Skriver Motor position error,,,Nej,Nej
WO043506,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Problemer med kakao,Problemer med kakao,ASA Ringet ind til KAR af Pauline ,,Ja,Ja
WO043494,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,I sidste uge var der noget der var slukket De tændte maskinen igen og så lugtede det brændt fra kaffemaskinen Nu lugter der fortsat brændt fra den Bentax var ikke tilkaldt i forbindelse med slukket maskine i sidste uge ,I sidste uge var der noget der var slukket De tændte maskinen igen og så lugtede det brændt fra kaffemaskinen Nu lugter der fortsat brændt fra den Bentax var ikke tilkaldt i forbindelse med slukket maskine i sidste uge,BCA Sidste nedbrud var april 2023 derfor ikke faktureret,,Måske,Nej
WO043478,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen skriver Komponentfejl hver gang de har taget en drik Når de trykker Bekræft så virker den igen og kører til næste kop ,Maskinen skriver Komponentfejl hver gang de har taget en drik Når de trykker Bekræft så virker den igen og kører til næste kop,,127140;126753,Nej,Nej
WO043493,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vandflowfejl der er vand til maskinen Kan lave manuelt skyl Der er forebyggende opgave på WO042566,Vandflowfejl der er vand til maskinen Kan lave manuelt skylDer er forebyggende opgave på WO042566,Der er forebyggende opgave på WO042566,132878,Nej,Nej
WO043460,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine er meget langsom til at lave kaffe ,Maskine er meget langsom til at lave kaffe,BCA u b ifølge PAF maskine var indstillet for fint ASA Pia melder at kunde er på arbejde fredag ,,Nej,Nej
WO043463,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen er utæt under rens der kommer vand på bordplade og ind i underskabet Tror måske drypbakken er utæt Kunden ønsker også mælkeslangerne skiftet ,Maskinen er utæt under rens der kommer vand på bordplade og ind i underskabet Tror måske drypbakken er utæt Kunden ønsker også mælkeslangerne skiftet,,128896;127140,Nej,Ja
WO043437,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen skriver fejl med stempler Genstart virker ikke ,Maskinen skriver fejl med stempler Genstart virker ikke,,,Nej,Nej
WO043384,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved rens kommer der vand ud over det hele de har slukket maskinen indtil vi kommer forbi De har tjekket spilddunken ikke er fuld ,Ved rens kommer der vand ud over det hele de har slukket maskinen indtil vi kommer forbi De har tjekket spilddunken ikke er fuld,,,Ja,Ja
WO043109,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Display er sort forsøgt med genstart og der er lys i knap ved grumseskuffe ,Display er sort forsøgt med genstart og der er lys i knap ved grumseskuffe,HKN kunden er blevet informeret om at nu skærm først kommer mandag d 6 5,137823,Nej,Nej
WO043387,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nogle drikke driller men ikke alle Fx ryger mælken i bakken og ikke koppen ved Cortado ,Nogle drikke driller men ikke alle Fx ryger mælken i bakken og ikke koppen ved Cortado,Skulle sige at han giver en god kop kaffe hvis du kommer forbi i dag ,,Nej,Nej
WO043342,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Efter at vi den 02 05 24 havde besøg af tekniker som udførte service på maskinen står der nu vand både inde i maskinen når man tager skuffen ud og på bordet under maskinen efter endt rengøring Ligeledes er der en del mere vand i skuffen efter rengøring end der var tidligere Så jeg tænker at der skal en ud og kigge på det På forhånd tak ,Efter at vi den 020524 havde besøg af tekniker som udførte service på maskinen står der nu vand både inde i maskinen når man tager skuffen ud og på bordet under maskinen efter endt rengøring Ligeledes er der en del mere vand i skuffen efter rengøring end der var tidligere Så jeg tænker at der skal en ud og kigge på det På forhånd tak,HKN jeg har ikke fået monteret slange til kakao korrekt eller slet ikke ved eftersyn ,,Nej,Nej
WO043344,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao fejler,Kakao fejler,ASA Set ved besøg til anden maskine,,Måske,
WO043289,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao flyder over inde i maskine samt lækker vand kaffe under maskine Forsøgt med rengøring 3 gange ,Kakao flyder over inde i maskine samt lækker vand kaffe under maskine Forsøgt med rengøring 3 gange,Ok med kørsel fra MOB og SUH NRB,,Ja,
WO043288,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,"Indmeldt telefonisk 81719646 Maskinen er utæt De har tømt den for vand og slukket den indtil vi har været forbi Melder også fejl på ""systemenhed"" ","Indmeldt telefonisk 81719646 Maskinen er utæt De har tømt den for vand og slukket den indtil vi har været forbi Melder også fejl på ""systemenhed""",,127140,Nej,Nej
WO043296,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine melder flow error og vand er åbnet for ,Maskine melder flow error og vand er åbnet for,,,Måske,Nej
WO043230,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals fredag kl 8 00 Tekniker skal bekræfte til båden Nimco om besøg bliver fredag kl 8 Det løber ud med vand fra højre side Har tjekke mixerskål for kakao samt prøvet at vende den rundt for at stoppe drypperiet uden det virkede ,Er i Hirtshals fredag kl 800 Tekniker skal bekræfte til båden Nimco om besøg bliver fredag kl 8Det løber ud med vand fra højre side Har tjekke mixerskål for kakao samt prøvet at vende den rundt for at stoppe drypperiet uden det virkede,ASA Jeg har mailet hende vores selvhjælpsvideo på kakao til BW4c da hun ikke bør kunne vende en mixerskål blandeskål Hun er bedt om at sige til hvis du får løst problemet efter at have modtaget videoen ,,Ja,Ja
WO043293,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Høj skinger lyd når der brygges og når der rengøres Der er helt åben for vandet ,Høj skinger lyd når der brygges og når der rengøres Der er helt åben for vandet,,,Ja,Ja
WO043222,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kontakt Kenneth ved besøg Kommer meget vand i grumsebakken Fungerer ellers fint ,Kontakt Kenneth ved besøg Kommer meget vand i grumsebakken Fungerer ellers fint,,,Nej,Nej
WO043270,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket ,Røde pind bag rensenøgle er knækket,Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Ja
WO043221,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vil ikke udlevere kakao kommer vand under bunden forrest og forsøgt at rengøre kakao inde i maskine Udlevere fint kaffe ,Vil ikke udlevere kakao kommer vand under bunden forrest og forsøgt at rengøre kakao inde i maskine Udlevere fint kaffe,ASA Sparret med TO Der er brugt så lidt tid på kaffebønne i kakao i forhold til det andet at vi ikke fakturere ,143362,Ja,Nej
WO043219,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Køleskab vil ikke køle Står og er varmt ,Køleskab vil ikke køle Står og er varmt,,127129,Nej,Nej
WO043212,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder waterflow Der er udv foreb + filter på WO043162,Melder waterflowDer er udv foreb + filter på WO043162,,127140;140704,Nej,Nej
WO043142,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine melder flow error er åbent for vand ,Maskine melder flow error er åbent for vand,,,Nej,Nej
WO043120,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Drypper med vand under bunden bagtil højre side ,Drypper med vand under bunden bagtil højre side,,126326,Nej,Nej
WO043176,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kaffemaskine melder fejl på mælk Temp for høj selvom det er koldt og frost på indersiden af køleskab ,Kaffemaskine melder fejl på mælk Temp for høj selvom det er koldt og frost på indersiden af køleskab,Kode til tekniker Milk temperature 1 in the refrigerator too high 22  Se løsningsforslag i fejlkodedokument Dalux 252359,128896,Måske,Nej
WO043135,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Smider meget vand ud på bordet under rens ,Smider meget vand ud på bordet under rens,,,Måske,Nej
WO042994,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Hver eftermiddag når hun skal sætte rens i gang er der rigtig meget vand i grumseskuffen ,Hver eftermiddag når hun skal sætte rens i gang er der rigtig meget vand i grumseskuffen,sager på begge maskiner,,Nej,Nej
WO042995,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kunden oplyser at skærmen tastaturet er meget pixelleret og ønsker dette efterset ,Kunden oplyser at skærmen tastaturet er meget pixelleret og ønsker dette efterset,sager på begge maskiner,,Nej,Nej
WO043033,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kalibrering af kaffen samt skift af screensaver Venstre kværn kører for lang tid,Kalibrering af kaffen samt skift af screensaverVenstre kværn kører for lang tid,Se modul s nr Note,104207,Nej,Nej
WO043068,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ønsker ikke vagtudkald Stopper til i kakao under mixerskål Mixerskål er tjekket og der er ingen synlige blokeringer ,Ønsker ikke vagtudkaldStopper til i kakao under mixerskål Mixerskål er tjekket og der er ingen synlige blokeringer,Ønsker ikke vagtudkald ASA Der er udvidet forebyggende med filterskifte på WO042016,,Ja,Nej
WO043122,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Stopper til under mixerskål for kakao ,Stopper til under mixerskål for kakao,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO043102,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,I den sidste uges tid har der været meget vand i grumsebakken Her til morgen er HPFI relæ slået ud De tændte HPFI og det slog ud igen med det samme Tog så stik fra kaffemaskine ud og så forbliver HPFI tændt ,I den sidste uges tid har der været meget vand i grumsebakkenHer til morgen er HPFI relæ slået ud De tændte HPFI og det slog ud igen med det samme Tog så stik fra kaffemaskine ud og så forbliver HPFI tændt,ASA HPFI er kundens ord jeg ved ikke om et er korrekt ,,Ja,Ja
WO043106,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Drypper vand fra maskine under bunden ,Drypper vand fra maskine under bunden,,,Ja,Nej
WO043124,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakaomodul tilstoppet p gra brug af bage kakao ,Kakaomodul tilstoppet pgra brug af bage kakao,,,Ja,Ja
WO043065,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine melder waterflow error ,Maskine melder waterflow error,,,Nej,Nej
WO042963,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"""den til venstre"" men passer ikke med det S N kunden opgiver Fejl ""har sort skærm vi har prøvet at slukke og tænde for den der er strøm på den kan vi se på tænd sluk knappen"" ","""den til venstre"" men passer ikke med det S N kunden opgiver Fejl ""har sort skærm vi har prøvet at slukke og tænde for den der er strøm på den kan vi se på tænd sluk knappen""",Udskiftning af midlertidig skærm brugt hylden NRB Meldt ind af Kontra Ring venligst til Christian med korrekt S N hvis det er oprettet forkert 41774922,,Nej,Nej
WO043103,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen laver for små kopper og kaffen smager ikke godt efter besøg i sidste uge ,Maskinen laver for små kopper og kaffen smager ikke godt efter besøg i sidste uge,,,Nej,Nej
WO043016,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Pind i røde rensenøgle er knækket ,Pind i røde rensenøgle er knækket,Der er folk på kontoret fra kl 9 om morgenen fredag  Kunden skal betale ,133555,Ja,Ja
WO043022,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Meler flow error og vand er åbent Tjek serienummer maskinen til venstre ,Meler flow error og vand er åbent Tjek serienummer maskinen til venstre,,,Nej,Nej
WO043055,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen melder Vandflow fejl igen lige som sidst ,Maskinen melder Vandflow fejl igen lige som sidst,,,Nej,Nej
WO043026,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kontakt Max inden besøg Ved bryg af kakao kommer der vand under bunden af maskine Ligner det kommer midt under ,Kontakt Max inden besøg Ved bryg af kakao kommer der vand under bunden af maskine Ligner det kommer midt under,,,Ja,Nej
WO042985,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,I går og i dag k 12 20 fryser skærmen Skal slukke tænde for ta få den i gang igen Melder koger ej klar og at der skal foretages rengøring selv om rengøring er foretaget ,I går og i dag k 1220 fryser skærmen Skal slukke tænde for ta få den i gang igenMelder koger ej klar og at der skal foretages rengøring selv om rengøring er foretaget,ASA Den er ikke på TC så kan ikke se noget uddybende om den ,02816;105208,Nej,Nej
WO043014,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 2 af 2 Melder tom for mælk Der er lige stillet 4 liter i køleskabet så tages der 3 café latte og melder tom for mælk Der er taget ca 1 5 del af mælken ,Sag 2 af 2 Melder tom for mælk Der er lige stillet 4 liter i køleskabet så tages der 3 café latte og melder tom for mælk Der er taget ca 1 5 del af mælken,ASA Der er en WO på denne maskine WO042761 der er sat på pause ,,Nej,Nej
WO043004,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Flere fejlsignaler mellem boiler og CPU ,Flere fejlsignaler mellem boiler og CPU,Tag fat i MB hvis teknisk support ønskes Underliggende fejl er kommet flere gange i dag og tidligere  Fejkode 9 Stataus Manager Error har disse underliggende fejl  Grinder1 Mainboard Getting digital input for index 0 failed ReceiveError  MilkModule Mainboard Getting analog input for index 2 failed ReceiveError  Digital Output Availability Mainboard Getting all digital output error flags failed ReceiveError  Fejlkode 2 Boiler control unit error har disse fejl  Mainboard Getting analog input for index 6 failed ReceiveError  Mainboard Pulsing multiple digital outputs failed ReceiveError,,Nej,Nej
WO043008,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Beder om rengøringsprogram igen Det er lige kørt igennem 2 gange Rengøringsprogrammet er begge gange udført som normalt og processen på skærmen har forløbet sig som det plejer ,Beder om rengøringsprogram igen Det er lige kørt igennem 2 gange Rengøringsprogrammet er begge gange udført som normalt og processen på skærmen har forløbet sig som det plejer,,,Ja,Nej
WO042978,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gennemsigtig slange bagpå maskine er utæt Kommer vand på bordet under maskine ,Gennemsigtig slange bagpå maskine er utæt Kommer vand på bordet under maskine,,,Måske,Nej
WO042819,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Plasticdel i spildbakke er i stykker ,Plasticdel i spildbakke er i stykker,Hun havde fået besked fra kollega ,126676,Ja,Ja
WO042984,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kan ikke starte renseprogram mente den melder piston error ,Kan ikke starte renseprogram mente den melder piston error,Ville gerne have hurtigt besøg da flere gæster bruger denne maskine ,,Nej,Nej
WO042971,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,ASA Indmeldt af pige måske Sara Tlf 20362267 Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet INFO MASKINE HAR KUN KØRT 45210 kopper ,133555,Ja,Ja
WO042964,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Fejl ""laver ikke ret luftigt skum så hvis i samtidig kan indstille på den ""","Fejl ""laver ikke ret luftigt skum så hvis i samtidig kan indstille på den""",Skrive gerne placering på maskine Meldt ind af kontra ,,Nej,Nej
WO042979,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao ,Stopper til under mixerskål for kakao,Kode til tekniker Giver ikke kakao Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,131816,Måske,Nej
WO042949,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Laver meget tynd kaffe Ligner mere the når den brygger ,Laver meget tynd kaffe Ligner mere the når den brygger,Ringet til bagerafdeling for at få fejlmelding kollega i bagerafdeling har oplyst at kaffen er tynd ,,Nej,Ja
WO042965,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Fået besked fra rengøringspersonale Vil ikke starte rengøring når det endelig kan startes op løber der vand op over drypbakken ,Fået besked fra rengøringspersonale Vil ikke starte rengøring når det endelig kan startes op løber der vand op over drypbakken,,,Måske,Nej
WO042942,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao ,Stopper til under mixerskål for kakao,,130335,Ja,Ja
WO042880,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Gerne besøg i dag hvis muligt Maskinen kan slet ikke tændes ,Gerne besøg i dag hvis muligt Maskinen kan slet ikke tændes,,126257,Ja,Ja
WO042944,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Meget gerne besøg i dag Ring Joan inden for nærmere tid Maskinen er utæt under rengøring og der er vand ud over det hele ,Meget gerne besøg i dag Ring Joan inden for nærmere tid Maskinen er utæt under rengøring og der er vand ud over det hele,Meget gerne besøg i dag Ring Joan inden for nærmere tid ,,Måske,Nej
WO042668,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Køleskabet fungerer ikke Er meget tiliset,Køleskabet fungerer ikke Er meget tiliset,ASA Indmeldt af Kurt fra Kontra,126238;127166,Nej,Nej
WO042902,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over inde i maskine Forsøgt med rengøring af mixerskål ,Kakao flyder over inde i maskine Forsøgt med rengøring af mixerskål,Hun mente at have set nogle kaffebønner omkring mixerskålen Kunde bør betale reservedel og arbejdsløn uden kørsel Ligger også eftersyn på denne ,131816;307835,Ja,Ja
WO042881,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Lækker vand under maskinen ,Lækker vand under maskinen,,,Ja,Ja
WO042855,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Pind i rød rensenøgle er knækket ,Pind i rød rensenøgle er knækket,,133555,Ja,Nej
WO042865,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Drypper vand og kakao udover tragten og under maskinen Har forsøgt at rengøre tragt og maskine flere gange ,Drypper vand og kakao udover tragten og under maskinen Har forsøgt at rengøre tragt og maskine flere gange,Det var ikke kaffebønner ,124748,Måske,Nej
WO042833,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Flow error ,Flow error,Hydralik modul er lige blevet skiftede ,127135,Nej,Nej
WO042818,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Når de vælger kakao drypper der vand ved spildbakke samt koppen bliver ikke fyldt ,Når de vælger kakao drypper der vand ved spildbakke samt koppen bliver ikke fyldt,,,Ja,Nej
WO042842,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao Rengøring er forsøgt ,Stopper til under mixerskål for kakao Rengøring er forsøgt,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO042796,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Har forsøgt med rengøring men kan ikke få det startet Melder Systemtid beskadiget Forsøgt med genstart men kan ikke manuelt sætte rengøring i gang ,Har forsøgt med rengøring men kan ikke få det startet Melder Systemtid beskadiget Forsøgt med genstart men kan ikke manuelt sætte rengøring i gang,,,Nej,Nej
WO042761,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer vand i grumseskuffen og på bordet under midten af maskine Kommer ingen mælk Har slukket maskine ,Kommer vand i grumseskuffen og på bordet under midten af maskine Kommer ingen mælk Har slukket maskine,,127791,Nej,Nej
WO040613,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC, Gennemgang af maskine på værksted efter aftale med FK STR  Maskinen har været udsat for en tagvandskade hvor der er løbet vand ovenfra ned i maskinen FK har konstateret skærm ikke virker men maskinen skal teknisk gennemgåes for defektheder i forfindelse med vandskade  Dette skal meldes til kunden egen forsikring derfor skal STR have besked om omfang af reprationer således der kan blive udført et overslag til forsikringen , Gennemgang af maskine på værksted efter aftale med FK STR Maskinen har været udsat for en tagvandskade hvor der er løbet vand ovenfra ned i maskinen FK har konstateret skærm ikke virker men maskinen skal teknisk gennemgåes for defektheder i forfindelse med vandskade Dette skal meldes til kunden egen forsikring derfor skal STR have besked om omfang af reprationer således der kan blive udført et overslag til forsikringen,BCA STR hvad med fragt + husk at tilpasse tekst BCA kunde er faktureret 20 000 på SO100198 ifølge aftale med STR I SKAL VÆRE OBS AT RESERVEDELS NR PÅ LILLE EFTERSYN ER GL NR DA DET BLEV LAVET INDEN SERVICE KIT BLEV ÆNDRET LAGER HAR FÅET MASKINEN NED DE SENDER DEN TIL BENTAX KBH  ASA Omkostninger på WO040251 skal med på denne sag Maskinen er hjemtaget til værkstedet Svenstrup Kunden har lånt en midlertidig maskine af BENTAX OBS Kunden betaler for reparation = 20 000 kr + moms samlet ,137823;101212,Ja,Nej
WO042772,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Er stoppet til i kakao under mixerkål mixerskål er rengjort ,Er stoppet til i kakao under mixerkål mixerskål er rengjort,,,Ja,Ja
WO042719,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kontakt Anette inden besøg Sprutter med vand fra udløb og americano smager ikke af noget ,Kontakt Anette inden besøg Sprutter med vand fra udløb og americano smager ikke af noget,Der ligger også service på denne HKN har prøvet at ringe 17 4 12 30 uden at få kontakt ,,Nej,Nej
WO042712,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder fejl i statusstyreenhed Har forsøgt med genstart ,Melder fejl i statusstyreenhed Har forsøgt med genstart,Ligger også et eftersyn + filterskifte på denne ,128896,Nej,Nej
WO042721,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Fejl i forbindelse med rengøringsprogram Har gjort det ofte Har kunne genstarte og fuldføre I dag gik det i stå igen og nu vil den slet ikke starte rengøringsprogammet op ,Fejl i forbindelse med rengøringsprogram Har gjort det ofte Har kunne genstarte og fuldføre I dag gik det i stå igen og nu vil den slet ikke starte rengøringsprogammet op,ASA Hun talte svensk så jeg har muligvis ikke forstået det helt korrekt Ved ikke hvilken step i rengøringen de kom til ,,Måske,Nej
WO042706,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i går viser maskinen stadig at mælken er for varm selvom den er kold når de mærker på den Genstart hjælper ikke ,Efter besøg i går viser maskinen stadig at mælken er for varm selvom den er kold når de mærker på den Genstart hjælper ikke,ASA Får denne U B da der kunne forbedres og de må have haft en oplevelse som de beskrives siden de har ringet Målt mælketemperatur til 4 grader Maskinen måler den til 4 7 grader,,Måske,Nej
WO042717,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao løber over og klumper i tragten Har haft tragt og skål ude for at rengøre men flyder over igen ,Kakao løber over og klumper i tragten Har haft tragt og skål ude for at rengøre men flyder over igen,,,Måske,Nej
WO042713,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder flowfejl,Melder flowfejl,,,Nej,Nej
WO042650,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der kommer vand ud alle vegne på maskinen og den kan slet ikke køre ,Der kommer vand ud alle vegne på maskinen og den kan slet ikke køre,,,Ja,Nej
WO042611,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket De lægger 1 tablet i rensenøgle ,Røde pind bag rensenøgle er knækket De lægger 1 tablet i rensenøgle,ASA Iht om denne er dækket af servieaftale eller ej Jeg fik spurgt til antal af tabletter men ikke til placeringen af tabletten HKN ,133555,Ja,Ja
WO042620,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Er i Hirtshals onsdag kl 8 00 Maskine er utæt,Er i Hirtshals onsdag kl 800Maskine er utæt,ASA Jeg spørger hvornår er i Hirtshals Afventer,126257,Ja,Nej
WO042618,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Drypper med vand Slukket maskine ,Drypper med vand Slukket maskine,Hun har fået at vide at den fortsat drypper med vand ,126285R,Nej,Nej
WO042597,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Udlever ikke nok mælk Der kommer meget vand i drik bagefter mælk er givet Skummer ikke mælken ,Udlever ikke nok mælk Der kommer meget vand i drik bagefter mælk er givet Skummer ikke mælken,,120701,Nej,Nej
WO042606,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Vil ikke udlevere drikke med mælk Hvis de genstarter laver den en drik med mælk Ellers står pumpen bare og kører uden at udlevere mælk ,Vil ikke udlevere drikke med mælk Hvis de genstarter laver den en drik med mælk Ellers står pumpen bare og kører uden at udlevere mælk,Obs Ser ud til at mælkepumpen er skiftet to gange i år NRB Servicetæller er blevet nulstillet Den stod på 25000 ,126285R,Nej,Nej
WO042593,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 1 af 2 Maskine i stueetagen og op ad trappen Kan tændes men går så ud af sig selv Der er lys i tænd slukknap ,Sag 1 af 2 Maskine i stueetagen og op ad trappenKan tændes men går så ud af sig selv Der er lys i tænd slukknap,,,Nej,Nej
WO042592,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,alm kaffe er meget tynd ,alm kaffe er meget tynd,Hun vidste ikke om der var andre drikke som var tynde ,,Nej,Nej
WO042503,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskine lækker vand når de brygger kaffe Kommer under maskine ved slanger De har slukket maskinen ,Maskine lækker vand når de brygger kaffe Kommer under maskine ved slanger De har slukket maskinen,Meldt ind af Pia fra Kontra HKN har snakket med Alex det er fint hvis vi kommer mandag maskinen er slukket Der er ikke noget SN på hydraulisk modul Ved ikke om Kobtra selv køre eftersyn på deres maskinen ,127140;140704,Nej,Ja
WO042587,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder sporadisk for stor kaffemængde ved alm kaffe Begybdte i fredags og oplvede det igen her til morgen ,Melder sporadisk for stor kaffemængde ved alm kaffe Begybdte i fredags og oplvede det igen her til morgen,,118594,Nej,Nej
WO042584,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine drypper under bunden Slukket maskine ,Maskine drypper under bunden Slukket maskine,Hun fik besked i fredags af kollegaer at den drypper under bunden ,125393,Nej,Nej
