WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO043437,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen skriver fejl med stempler Genstart virker ikke,Maskinen skriver fejl med stempler Genstart virker ikke,Maskinen skriver fejl med stempler Genstart virker ikke,,Nej,Nej
WO043384,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved rens kommer der vand ud over det hele de har slukket maskinen indtil vi kommer forbi De har tjekket spilddunken ikke er fuld,Ved rens kommer der vand ud over det hele de har slukket maskinen indtil vi kommer forbi De har tjekket spilddunken ikke er fuld,Ved rens kommer der vand ud over det hele de har slukket maskinen indtil vi kommer forbi De har tjekket spilddunken ikke er fuld,,Ja,Ja
WO043109,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Display er sort forsøgt med genstart og der er lys i knap ved grumseskuffe,Display er sort forsøgt med genstart og der er lys i knap ved grumseskuffe,Display er sort forsøgt med genstart og der er lys i knap ved grumseskuffe,137823,Nej,Nej
WO043387,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Nogle drikke driller men ikke alle Fx ryger mælken i bakken og ikke koppen ved Cortado,Nogle drikke driller men ikke alle Fx ryger mælken i bakken og ikke koppen ved Cortado,Nogle drikke driller men ikke alle Fx ryger mælken i bakken og ikke koppen ved Cortado,,Nej,Nej
WO043342,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Efter at vi den 020524 havde besøg af tekniker som udførte service på maskinen står der nu vand både inde i maskinen når man tager skuffen ud og på bordet under maskinen efter endt rengøring Ligeledes er der en del mere vand i skuffen efter rengøring end der var tidligere Så jeg tænker at der skal en ud og kigge på det På forhånd tak,Efter at vi den 020524 havde besøg af tekniker som udførte service på maskinen står der nu vand både inde i maskinen når man tager skuffen ud og på bordet under maskinen efter endt rengøring Ligeledes er der en del mere vand i skuffen efter rengøring end der var tidligere Så jeg tænker at der skal en ud og kigge på det På forhånd tak,Efter at vi den 020524 havde besøg af tekniker som udførte service på maskinen står der nu vand både inde i maskinen når man tager skuffen ud og på bordet under maskinen efter endt rengøring Ligeledes er der en del mere vand i skuffen efter rengøring end der var tidligere Så jeg tænker at der skal en ud og kigge på det På forhånd tak,,Nej,Nej
WO043344,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao fejler,Kakao fejler,Kakao fejler,,Måske,
WO043289,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kakao flyder over inde i maskine samt lækker vand kaffe under maskine Forsøgt med rengøring 3 gange,Kakao flyder over inde i maskine samt lækker vand kaffe under maskine Forsøgt med rengøring 3 gange,Kakao flyder over inde i maskine samt lækker vand kaffe under maskine Forsøgt med rengøring 3 gange,,Ja,
WO043288,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,"Indmeldt telefonisk 81719646 Maskinen er utæt De har tømt den for vand og slukket den indtil vi har været forbi Melder også fejl på ""systemenhed""","Indmeldt telefonisk 81719646 Maskinen er utæt De har tømt den for vand og slukket den indtil vi har været forbi Melder også fejl på ""systemenhed""","Indmeldt telefonisk 81719646 Maskinen er utæt De har tømt den for vand og slukket den indtil vi har været forbi Melder også fejl på ""systemenhed""",127140,Nej,Nej
WO043296,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine melder flow error og vand er åbnet for,Maskine melder flow error og vand er åbnet for,Maskine melder flow error og vand er åbnet for,,Måske,Nej
WO043230,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals fredag kl 800 Tekniker skal bekræfte til båden Nimco om besøg bliver fredag kl 8Det løber ud med vand fra højre side Har tjekke mixerskål for kakao samt prøvet at vende den rundt for at stoppe drypperiet uden det virkede,Er i Hirtshals fredag kl 800 Tekniker skal bekræfte til båden Nimco om besøg bliver fredag kl 8Det løber ud med vand fra højre side Har tjekke mixerskål for kakao samt prøvet at vende den rundt for at stoppe drypperiet uden det virkede,Er i Hirtshals fredag kl 800 Tekniker skal bekræfte til båden Nimco om besøg bliver fredag kl 8Det løber ud med vand fra højre side Har tjekke mixerskål for kakao samt prøvet at vende den rundt for at stoppe drypperiet uden det virkede,,Ja,Ja
WO043293,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Høj skinger lyd når der brygges og når der rengøres Der er helt åben for vandet,Høj skinger lyd når der brygges og når der rengøres Der er helt åben for vandet,Høj skinger lyd når der brygges og når der rengøres Der er helt åben for vandet,,Ja,Ja
WO043222,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kontakt Kenneth ved besøg Kommer meget vand i grumsebakken Fungerer ellers fint,Kontakt Kenneth ved besøg Kommer meget vand i grumsebakken Fungerer ellers fint,Kontakt Kenneth ved besøg Kommer meget vand i grumsebakken Fungerer ellers fint,,Nej,Nej
WO043270,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555,Ja,Ja
WO043221,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vil ikke udlevere kakao kommer vand under bunden forrest og forsøgt at rengøre kakao inde i maskine Udlevere fint kaffe,Vil ikke udlevere kakao kommer vand under bunden forrest og forsøgt at rengøre kakao inde i maskine Udlevere fint kaffe,Vil ikke udlevere kakao kommer vand under bunden forrest og forsøgt at rengøre kakao inde i maskine Udlevere fint kaffe,143362,Ja,Nej
WO043219,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Køleskab vil ikke køle Står og er varmt,Køleskab vil ikke køle Står og er varmt,Køleskab vil ikke køle Står og er varmt,127129,Nej,Nej
WO043212,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder waterflowDer er udv foreb + filter på WO043162,Melder waterflowDer er udv foreb + filter på WO043162,Melder waterflowDer er udv foreb + filter på WO043162,127140;140704,Nej,Nej
WO043142,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine melder flow error er åbent for vand,Maskine melder flow error er åbent for vand,Maskine melder flow error er åbent for vand,,Nej,Nej
WO043120,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Drypper med vand under bunden bagtil højre side,Drypper med vand under bunden bagtil højre side,Drypper med vand under bunden bagtil højre side,126326,Nej,Nej
WO043176,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kaffemaskine melder fejl på mælk Temp for høj selvom det er koldt og frost på indersiden af køleskab,Kaffemaskine melder fejl på mælk Temp for høj selvom det er koldt og frost på indersiden af køleskab,Kaffemaskine melder fejl på mælk Temp for høj selvom det er koldt og frost på indersiden af køleskab,128896,Måske,Nej
WO043135,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Smider meget vand ud på bordet under rens,Smider meget vand ud på bordet under rens,Smider meget vand ud på bordet under rens,,Måske,Nej
WO042994,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Hver eftermiddag når hun skal sætte rens i gang er der rigtig meget vand i grumseskuffen,Hver eftermiddag når hun skal sætte rens i gang er der rigtig meget vand i grumseskuffen,Hver eftermiddag når hun skal sætte rens i gang er der rigtig meget vand i grumseskuffen,,Nej,Nej
WO042995,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kunden oplyser at skærmen tastaturet er meget pixelleret og ønsker dette efterset,Kunden oplyser at skærmen tastaturet er meget pixelleret og ønsker dette efterset,Kunden oplyser at skærmen tastaturet er meget pixelleret og ønsker dette efterset,,Nej,Nej
WO043033,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kalibrering af kaffen samt skift af screensaverVenstre kværn kører for lang tid,Kalibrering af kaffen samt skift af screensaverVenstre kværn kører for lang tid,Kalibrering af kaffen samt skift af screensaverVenstre kværn kører for lang tid,104207,Nej,Nej
WO043068,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Ønsker ikke vagtudkaldStopper til i kakao under mixerskål Mixerskål er tjekket og der er ingen synlige blokeringer,Ønsker ikke vagtudkaldStopper til i kakao under mixerskål Mixerskål er tjekket og der er ingen synlige blokeringer,Ønsker ikke vagtudkaldStopper til i kakao under mixerskål Mixerskål er tjekket og der er ingen synlige blokeringer,,Ja,Nej
WO043122,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,,Ja,Nej
WO043102,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,I den sidste uges tid har der været meget vand i grumsebakkenHer til morgen er HPFI relæ slået ud De tændte HPFI og det slog ud igen med det samme Tog så stik fra kaffemaskine ud og så forbliver HPFI tændt,I den sidste uges tid har der været meget vand i grumsebakkenHer til morgen er HPFI relæ slået ud De tændte HPFI og det slog ud igen med det samme Tog så stik fra kaffemaskine ud og så forbliver HPFI tændt,I den sidste uges tid har der været meget vand i grumsebakkenHer til morgen er HPFI relæ slået ud De tændte HPFI og det slog ud igen med det samme Tog så stik fra kaffemaskine ud og så forbliver HPFI tændt,,Ja,Ja
WO043106,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Drypper vand fra maskine under bunden,Drypper vand fra maskine under bunden,Drypper vand fra maskine under bunden,,Ja,Nej
WO043124,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakaomodul tilstoppet pgra brug af bage kakao,Kakaomodul tilstoppet pgra brug af bage kakao,Kakaomodul tilstoppet pgra brug af bage kakao,,Ja,Ja
WO043065,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine melder waterflow error,Maskine melder waterflow error,Maskine melder waterflow error,,Nej,Nej
WO042963,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"""den til venstre"" men passer ikke med det S N kunden opgiver Fejl ""har sort skærm vi har prøvet at slukke og tænde for den der er strøm på den kan vi se på tænd sluk knappen""","""den til venstre"" men passer ikke med det S N kunden opgiver Fejl ""har sort skærm vi har prøvet at slukke og tænde for den der er strøm på den kan vi se på tænd sluk knappen""","""den til venstre"" men passer ikke med det S N kunden opgiver Fejl ""har sort skærm vi har prøvet at slukke og tænde for den der er strøm på den kan vi se på tænd sluk knappen""",,Nej,Nej
WO043103,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen laver for små kopper og kaffen smager ikke godt efter besøg i sidste uge,Maskinen laver for små kopper og kaffen smager ikke godt efter besøg i sidste uge,Maskinen laver for små kopper og kaffen smager ikke godt efter besøg i sidste uge,,Nej,Nej
WO043016,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Pind i røde rensenøgle er knækket,Pind i røde rensenøgle er knækket,Pind i røde rensenøgle er knækket,133555,Ja,Ja
WO043022,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Meler flow error og vand er åbent Tjek serienummer maskinen til venstre,Meler flow error og vand er åbent Tjek serienummer maskinen til venstre,Meler flow error og vand er åbent Tjek serienummer maskinen til venstre,,Nej,Nej
WO043055,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen melder Vandflow fejl igen lige som sidst,Maskinen melder Vandflow fejl igen lige som sidst,Maskinen melder Vandflow fejl igen lige som sidst,,Nej,Nej
WO043026,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kontakt Max inden besøg Ved bryg af kakao kommer der vand under bunden af maskine Ligner det kommer midt under,Kontakt Max inden besøg Ved bryg af kakao kommer der vand under bunden af maskine Ligner det kommer midt under,Kontakt Max inden besøg Ved bryg af kakao kommer der vand under bunden af maskine Ligner det kommer midt under,,Ja,Nej
WO042985,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,I går og i dag k 1220 fryser skærmen Skal slukke tænde for ta få den i gang igenMelder koger ej klar og at der skal foretages rengøring selv om rengøring er foretaget,I går og i dag k 1220 fryser skærmen Skal slukke tænde for ta få den i gang igenMelder koger ej klar og at der skal foretages rengøring selv om rengøring er foretaget,I går og i dag k 1220 fryser skærmen Skal slukke tænde for ta få den i gang igenMelder koger ej klar og at der skal foretages rengøring selv om rengøring er foretaget,02816;105208,Nej,Nej
WO043014,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 2 af 2 Melder tom for mælk Der er lige stillet 4 liter i køleskabet så tages der 3 café latte og melder tom for mælk Der er taget ca 1 5 del af mælken,Sag 2 af 2 Melder tom for mælk Der er lige stillet 4 liter i køleskabet så tages der 3 café latte og melder tom for mælk Der er taget ca 1 5 del af mælken,Sag 2 af 2 Melder tom for mælk Der er lige stillet 4 liter i køleskabet så tages der 3 café latte og melder tom for mælk Der er taget ca 1 5 del af mælken,,Nej,Nej
WO043004,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Flere fejlsignaler mellem boiler og CPU,Flere fejlsignaler mellem boiler og CPU,Flere fejlsignaler mellem boiler og CPU,,Nej,Nej
WO043008,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Beder om rengøringsprogram igen Det er lige kørt igennem 2 gange Rengøringsprogrammet er begge gange udført som normalt og processen på skærmen har forløbet sig som det plejer,Beder om rengøringsprogram igen Det er lige kørt igennem 2 gange Rengøringsprogrammet er begge gange udført som normalt og processen på skærmen har forløbet sig som det plejer,Beder om rengøringsprogram igen Det er lige kørt igennem 2 gange Rengøringsprogrammet er begge gange udført som normalt og processen på skærmen har forløbet sig som det plejer,,Ja,Nej
WO042978,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gennemsigtig slange bagpå maskine er utæt Kommer vand på bordet under maskine,Gennemsigtig slange bagpå maskine er utæt Kommer vand på bordet under maskine,Gennemsigtig slange bagpå maskine er utæt Kommer vand på bordet under maskine,,Måske,Nej
WO042819,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Plasticdel i spildbakke er i stykker,Plasticdel i spildbakke er i stykker,Plasticdel i spildbakke er i stykker,126676,Ja,Ja
WO042984,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Kan ikke starte renseprogram mente den melder piston error,Kan ikke starte renseprogram mente den melder piston error,Kan ikke starte renseprogram mente den melder piston error,,Nej,Nej
WO042971,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,Røde pind bag røde rensenøgle er knækket,133555,Ja,Ja
WO042964,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,"Fejl ""laver ikke ret luftigt skum så hvis i samtidig kan indstille på den""","Fejl ""laver ikke ret luftigt skum så hvis i samtidig kan indstille på den""","Fejl ""laver ikke ret luftigt skum så hvis i samtidig kan indstille på den""",,Nej,Nej
WO042979,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,131816,Måske,Nej
WO042949,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Laver meget tynd kaffe Ligner mere the når den brygger,Laver meget tynd kaffe Ligner mere the når den brygger,Laver meget tynd kaffe Ligner mere the når den brygger,,Nej,Ja
WO042965,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Fået besked fra rengøringspersonale Vil ikke starte rengøring når det endelig kan startes op løber der vand op over drypbakken,Fået besked fra rengøringspersonale Vil ikke starte rengøring når det endelig kan startes op løber der vand op over drypbakken,Fået besked fra rengøringspersonale Vil ikke starte rengøring når det endelig kan startes op løber der vand op over drypbakken,,Måske,Nej
WO042942,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,Stopper til under mixerskål for kakao,130335,Ja,Ja
WO042880,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Gerne besøg i dag hvis muligt Maskinen kan slet ikke tændes,Gerne besøg i dag hvis muligt Maskinen kan slet ikke tændes,Gerne besøg i dag hvis muligt Maskinen kan slet ikke tændes,126257,Ja,Ja
WO042944,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Meget gerne besøg i dag Ring Joan inden for nærmere tid Maskinen er utæt under rengøring og der er vand ud over det hele,Meget gerne besøg i dag Ring Joan inden for nærmere tid Maskinen er utæt under rengøring og der er vand ud over det hele,Meget gerne besøg i dag Ring Joan inden for nærmere tid Maskinen er utæt under rengøring og der er vand ud over det hele,,Måske,Nej
WO042668,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Køleskabet fungerer ikke Er meget tiliset,Køleskabet fungerer ikke Er meget tiliset,Køleskabet fungerer ikke Er meget tiliset,126238;127166,Nej,Nej
WO042902,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over inde i maskine Forsøgt med rengøring af mixerskål,Kakao flyder over inde i maskine Forsøgt med rengøring af mixerskål,Kakao flyder over inde i maskine Forsøgt med rengøring af mixerskål,131816;307835,Ja,Ja
WO042881,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Lækker vand under maskinen,Lækker vand under maskinen,Lækker vand under maskinen,,Ja,Ja
WO042855,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Pind i rød rensenøgle er knækket,Pind i rød rensenøgle er knækket,Pind i rød rensenøgle er knækket,133555,Ja,Nej
WO042865,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Drypper vand og kakao udover tragten og under maskinen Har forsøgt at rengøre tragt og maskine flere gange,Drypper vand og kakao udover tragten og under maskinen Har forsøgt at rengøre tragt og maskine flere gange,Drypper vand og kakao udover tragten og under maskinen Har forsøgt at rengøre tragt og maskine flere gange,124748,Måske,Nej
WO042833,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Flow error,Flow error,Flow error,127135,Nej,Nej
WO042818,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Når de vælger kakao drypper der vand ved spildbakke samt koppen bliver ikke fyldt,Når de vælger kakao drypper der vand ved spildbakke samt koppen bliver ikke fyldt,Når de vælger kakao drypper der vand ved spildbakke samt koppen bliver ikke fyldt,,Ja,Nej
WO042842,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao Rengøring er forsøgt,Stopper til under mixerskål for kakao Rengøring er forsøgt,Stopper til under mixerskål for kakao Rengøring er forsøgt,,Ja,Nej
WO042796,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Har forsøgt med rengøring men kan ikke få det startet Melder Systemtid beskadiget Forsøgt med genstart men kan ikke manuelt sætte rengøring i gang,Har forsøgt med rengøring men kan ikke få det startet Melder Systemtid beskadiget Forsøgt med genstart men kan ikke manuelt sætte rengøring i gang,Har forsøgt med rengøring men kan ikke få det startet Melder Systemtid beskadiget Forsøgt med genstart men kan ikke manuelt sætte rengøring i gang,,Nej,Nej
WO042761,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer vand i grumseskuffen og på bordet under midten af maskine Kommer ingen mælk Har slukket maskine,Kommer vand i grumseskuffen og på bordet under midten af maskine Kommer ingen mælk Har slukket maskine,Kommer vand i grumseskuffen og på bordet under midten af maskine Kommer ingen mælk Har slukket maskine,127791,Nej,Nej
WO040613,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC, Gennemgang af maskine på værksted efter aftale med FK STR Maskinen har været udsat for en tagvandskade hvor der er løbet vand ovenfra ned i maskinen FK har konstateret skærm ikke virker men maskinen skal teknisk gennemgåes for defektheder i forfindelse med vandskade Dette skal meldes til kunden egen forsikring derfor skal STR have besked om omfang af reprationer således der kan blive udført et overslag til forsikringen, Gennemgang af maskine på værksted efter aftale med FK STR Maskinen har været udsat for en tagvandskade hvor der er løbet vand ovenfra ned i maskinen FK har konstateret skærm ikke virker men maskinen skal teknisk gennemgåes for defektheder i forfindelse med vandskade Dette skal meldes til kunden egen forsikring derfor skal STR have besked om omfang af reprationer således der kan blive udført et overslag til forsikringen, Gennemgang af maskine på værksted efter aftale med FK STR Maskinen har været udsat for en tagvandskade hvor der er løbet vand ovenfra ned i maskinen FK har konstateret skærm ikke virker men maskinen skal teknisk gennemgåes for defektheder i forfindelse med vandskade Dette skal meldes til kunden egen forsikring derfor skal STR have besked om omfang af reprationer således der kan blive udført et overslag til forsikringen,137823;101212,Ja,Nej
WO042772,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Er stoppet til i kakao under mixerkål mixerskål er rengjort,Er stoppet til i kakao under mixerkål mixerskål er rengjort,Er stoppet til i kakao under mixerkål mixerskål er rengjort,,Ja,Ja
WO042719,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kontakt Anette inden besøg Sprutter med vand fra udløb og americano smager ikke af noget,Kontakt Anette inden besøg Sprutter med vand fra udløb og americano smager ikke af noget,Kontakt Anette inden besøg Sprutter med vand fra udløb og americano smager ikke af noget,,Nej,Nej
WO042712,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder fejl i statusstyreenhed Har forsøgt med genstart,Melder fejl i statusstyreenhed Har forsøgt med genstart,Melder fejl i statusstyreenhed Har forsøgt med genstart,128896,Nej,Nej
WO042721,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Fejl i forbindelse med rengøringsprogram Har gjort det ofte Har kunne genstarte og fuldføre I dag gik det i stå igen og nu vil den slet ikke starte rengøringsprogammet op,Fejl i forbindelse med rengøringsprogram Har gjort det ofte Har kunne genstarte og fuldføre I dag gik det i stå igen og nu vil den slet ikke starte rengøringsprogammet op,Fejl i forbindelse med rengøringsprogram Har gjort det ofte Har kunne genstarte og fuldføre I dag gik det i stå igen og nu vil den slet ikke starte rengøringsprogammet op,,Måske,Nej
WO042706,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i går viser maskinen stadig at mælken er for varm selvom den er kold når de mærker på den Genstart hjælper ikke,Efter besøg i går viser maskinen stadig at mælken er for varm selvom den er kold når de mærker på den Genstart hjælper ikke,Efter besøg i går viser maskinen stadig at mælken er for varm selvom den er kold når de mærker på den Genstart hjælper ikke,,Måske,Nej
WO042717,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao løber over og klumper i tragten Har haft tragt og skål ude for at rengøre men flyder over igen,Kakao løber over og klumper i tragten Har haft tragt og skål ude for at rengøre men flyder over igen,Kakao løber over og klumper i tragten Har haft tragt og skål ude for at rengøre men flyder over igen,,Måske,Nej
WO042713,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder flowfejl,Melder flowfejl,Melder flowfejl,,Nej,Nej
WO042650,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der kommer vand ud alle vegne på maskinen og den kan slet ikke køre,Der kommer vand ud alle vegne på maskinen og den kan slet ikke køre,Der kommer vand ud alle vegne på maskinen og den kan slet ikke køre,,Ja,Nej
WO042611,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket De lægger 1 tablet i rensenøgle,Røde pind bag rensenøgle er knækket De lægger 1 tablet i rensenøgle,Røde pind bag rensenøgle er knækket De lægger 1 tablet i rensenøgle,133555,Ja,Ja
WO042620,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Er i Hirtshals onsdag kl 800Maskine er utæt,Er i Hirtshals onsdag kl 800Maskine er utæt,Er i Hirtshals onsdag kl 800Maskine er utæt,126257,Ja,Nej
WO042618,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Drypper med vand Slukket maskine,Drypper med vand Slukket maskine,Drypper med vand Slukket maskine,126285R,Nej,Nej
WO042597,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Udlever ikke nok mælk Der kommer meget vand i drik bagefter mælk er givet Skummer ikke mælken,Udlever ikke nok mælk Der kommer meget vand i drik bagefter mælk er givet Skummer ikke mælken,Udlever ikke nok mælk Der kommer meget vand i drik bagefter mælk er givet Skummer ikke mælken,120701,Nej,Nej
WO042606,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Vil ikke udlevere drikke med mælk Hvis de genstarter laver den en drik med mælk Ellers står pumpen bare og kører uden at udlevere mælk,Vil ikke udlevere drikke med mælk Hvis de genstarter laver den en drik med mælk Ellers står pumpen bare og kører uden at udlevere mælk,Vil ikke udlevere drikke med mælk Hvis de genstarter laver den en drik med mælk Ellers står pumpen bare og kører uden at udlevere mælk,126285R,Nej,Nej
WO042593,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 1 af 2 Maskine i stueetagen og op ad trappenKan tændes men går så ud af sig selv Der er lys i tænd slukknap,Sag 1 af 2 Maskine i stueetagen og op ad trappenKan tændes men går så ud af sig selv Der er lys i tænd slukknap,Sag 1 af 2 Maskine i stueetagen og op ad trappenKan tændes men går så ud af sig selv Der er lys i tænd slukknap,,Nej,Nej
WO042592,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,alm kaffe er meget tynd,alm kaffe er meget tynd,alm kaffe er meget tynd,,Nej,Nej
WO042503,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskine lækker vand når de brygger kaffe Kommer under maskine ved slanger De har slukket maskinen,Maskine lækker vand når de brygger kaffe Kommer under maskine ved slanger De har slukket maskinen,Maskine lækker vand når de brygger kaffe Kommer under maskine ved slanger De har slukket maskinen,127140;140704,Nej,Ja
WO042587,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder sporadisk for stor kaffemængde ved alm kaffe Begybdte i fredags og oplvede det igen her til morgen,Melder sporadisk for stor kaffemængde ved alm kaffe Begybdte i fredags og oplvede det igen her til morgen,Melder sporadisk for stor kaffemængde ved alm kaffe Begybdte i fredags og oplvede det igen her til morgen,118594,Nej,Nej
WO042584,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine drypper under bunden Slukket maskine,Maskine drypper under bunden Slukket maskine,Maskine drypper under bunden Slukket maskine,125393,Nej,Nej
WO042457,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer fortsat vand bagved under grumseskuffen,Kommer fortsat vand bagved under grumseskuffen,Kommer fortsat vand bagved under grumseskuffen,120694,Nej,Ja
WO042470,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder vandflowfejl ved alle drikke Har oplevet det tidligere og mente at vand var åbent for,Melder vandflowfejl ved alle drikke Har oplevet det tidligere og mente at vand var åbent for,Melder vandflowfejl ved alle drikke Har oplevet det tidligere og mente at vand var åbent for,132102;132878,Nej,Nej
WO042446,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Stopper i rengøringsprocessen i step 1 den kommer ikke videre Har forsøgt siden i går og genstart flere gange,Stopper i rengøringsprocessen i step 1 den kommer ikke videre Har forsøgt siden i går og genstart flere gange,Stopper i rengøringsprocessen i step 1 den kommer ikke videre Har forsøgt siden i går og genstart flere gange,126753;127791,Nej,Nej
